ts	tid	pose	x	y	z	area	conf
2026-04-24 19:23:16	0	3	50	0	0	12	60
2026-04-24 19:23:16	1	4	160	-20	0	255	60
2026-04-24 19:23:17	0	3	40	0	0	12	60
2026-04-24 19:23:17	1	4	130	-30	0	255	60
2026-04-24 19:23:18	0	3	40	0	0	12	60
2026-04-24 19:23:18	1	4	130	-30	0	255	60
2026-04-24 19:23:19	0	3	40	0	67	12	60
2026-04-24 19:23:19	1	4	160	-10	0	255	60
2026-04-24 19:23:20	0	3	40	0	0	12	60
2026-04-24 19:23:20	1	4	160	-10	0	255	60
2026-04-24 19:23:21	0	3	40	0	67	12	60
2026-04-24 19:23:21	1	4	160	-10	0	255	60
2026-04-24 19:23:22	0	3	30	-20	70	12	60
2026-04-24 19:23:22	1	4	150	-10	0	255	60
2026-04-24 19:23:23	0	3	20	-20	0	12	60
2026-04-24 19:23:23	1	4	160	-10	0	255	60
2026-04-24 19:23:24	0	3	20	-20	0	12	60
2026-04-24 19:23:24	1	4	160	-10	0	255	60
2026-04-24 19:23:25	0	3	20	-30	0	12	60
2026-04-24 19:23:25	1	4	160	-10	0	255	60
2026-04-24 19:23:26	0	3	20	-30	0	12	60
2026-04-24 19:23:26	1	4	160	-10	0	255	60
2026-04-24 19:23:27	0	3	20	-10	0	12	60
2026-04-24 19:23:27	1	4	160	-10	0	255	60
2026-04-24 19:23:28	0	3	10	-30	59	12	60
2026-04-24 19:23:28	1	4	150	-10	0	255	60
2026-04-24 19:23:29	0	3	20	0	0	12	60
2026-04-24 19:23:29	1	4	160	-10	0	255	60
2026-04-24 19:23:30	0	3	20	-10	0	12	60
2026-04-24 19:23:30	1	4	160	-10	0	255	60
2026-04-24 19:23:31	0	3	20	-10	0	12	60
2026-04-24 19:23:31	1	4	160	-10	0	255	60
2026-04-24 19:23:32	0	3	20	-10	0	12	60
2026-04-24 19:23:32	1	4	160	-10	0	255	60
2026-04-24 19:23:33	0	3	20	-10	0	12	60
2026-04-24 19:23:33	1	4	160	-10	0	255	60
2026-04-24 19:23:34	0	3	20	-10	0	12	60
2026-04-24 19:23:34	1	4	160	-10	0	255	60
2026-04-24 19:23:35	0	3	20	-10	0	12	60
2026-04-24 19:23:35	1	4	160	-10	0	255	60
2026-04-24 19:23:36	0	3	20	-10	74	12	60
2026-04-24 19:23:36	1	4	160	-10	0	255	60
2026-04-24 19:23:37	0	3	40	0	0	12	60
2026-04-24 19:23:37	1	4	170	-20	0	255	60
2026-04-24 19:23:38	0	3	40	0	0	12	60
2026-04-24 19:23:38	1	4	170	-20	0	255	60
2026-04-24 19:23:39	0	3	20	-20	74	12	60
2026-04-24 19:23:39	1	4	170	-20	0	255	60
2026-04-24 19:23:40	0	3	20	-20	66	12	60
2026-04-24 19:23:40	1	4	150	-30	0	255	60
2026-04-24 19:23:41	0	3	20	-20	0	12	60
2026-04-24 19:23:41	1	4	150	-20	0	255	60
2026-04-24 19:23:42	0	3	20	-20	0	12	60
2026-04-24 19:23:42	1	4	140	-20	0	255	60
2026-04-24 19:23:43	0	3	20	-30	0	12	60
2026-04-24 19:23:43	1	4	140	-20	0	255	60
2026-04-24 19:23:44	0	3	20	-30	0	12	60
2026-04-24 19:23:44	1	4	140	-20	0	255	60
2026-04-24 19:23:45	0	3	20	-30	0	12	60
2026-04-24 19:23:45	1	4	140	-20	0	255	60
2026-04-24 19:23:46	0	3	20	-30	0	12	60
2026-04-24 19:23:46	1	4	140	-20	0	255	60
2026-04-24 19:23:47	0	3	20	-30	0	12	60
2026-04-24 19:23:47	1	4	140	-20	0	255	60
2026-04-24 19:23:48	0	3	20	-30	0	12	60
2026-04-24 19:23:48	1	4	140	-20	0	255	60
2026-04-24 19:23:49	0	3	20	-30	0	12	60
2026-04-24 19:23:49	1	4	140	-20	0	255	60
2026-04-24 19:23:50	0	3	20	-30	0	12	60
2026-04-24 19:23:50	1	4	140	-20	0	255	60
2026-04-24 19:23:51	0	3	20	-30	0	12	60
2026-04-24 19:23:51	1	4	140	-20	0	255	60
2026-04-24 19:23:52	0	3	20	-30	0	12	60
2026-04-24 19:23:52	1	4	140	-20	0	255	60
2026-04-24 19:23:53	0	3	20	-30	0	12	60
2026-04-24 19:23:53	1	4	140	-20	0	255	60
2026-04-24 19:23:54	0	3	20	-30	0	12	60
2026-04-24 19:23:54	1	4	140	-20	0	255	60
2026-04-24 19:23:55	0	3	20	-30	0	12	60
2026-04-24 19:23:55	1	4	140	-20	0	255	60
2026-04-24 19:23:56	0	3	20	-30	0	12	60
2026-04-24 19:23:56	1	4	140	-20	0	255	60
2026-04-24 19:23:57	0	3	20	-30	0	12	60
2026-04-24 19:23:57	1	4	140	-20	0	255	60
2026-04-24 19:23:58	0	3	20	-30	0	12	60
2026-04-24 19:23:58	1	4	140	-20	0	255	60
2026-04-24 19:23:59	0	3	20	-20	71	12	60
2026-04-24 19:23:59	1	4	150	-30	0	255	60
2026-04-24 19:24:00	0	3	0	-30	59	12	60
2026-04-24 19:24:00	1	4	160	-40	0	255	60
2026-04-24 19:24:01	0	3	20	-20	0	12	60
2026-04-24 19:24:01	1	4	150	-10	0	255	60
2026-04-24 19:24:03	0	3	30	-10	0	12	60
2026-04-24 19:24:03	1	4	150	0	0	255	60
2026-04-24 19:24:03	0	3	30	-10	0	12	60
2026-04-24 19:24:03	1	4	150	0	0	255	60
2026-04-24 19:24:04	0	3	30	-20	54	12	60
2026-04-24 19:24:04	1	4	150	0	0	255	60
2026-04-24 19:24:05	0	3	0	-30	0	12	60
2026-04-24 19:24:05	1	4	130	-50	0	255	60
2026-04-24 19:24:06	0	3	-10	-40	0	12	60
2026-04-24 19:24:06	1	4	130	-50	0	255	60
2026-04-24 19:24:07	0	3	-10	-40	0	12	60
2026-04-24 19:24:07	1	4	130	-50	0	255	60
2026-04-24 19:24:08	0	3	0	-30	92	12	60
2026-04-24 19:24:08	1	4	130	-50	0	255	60
2026-04-24 19:24:09	0	3	0	-40	95	12	60
2026-04-24 19:24:09	1	4	130	-50	0	255	60
2026-04-24 19:24:10	0	3	10	-30	68	12	60
2026-04-24 19:24:10	1	4	130	-40	0	255	60
2026-04-24 19:24:11	0	3	20	-20	67	12	60
2026-04-24 19:24:11	1	4	130	-10	0	255	60
2026-04-24 19:24:12	0	3	30	-10	76	12	60
2026-04-24 19:24:12	1	4	160	-40	0	255	60
2026-04-24 19:24:13	0	3	40	-10	82	12	60
2026-04-24 19:24:13	1	4	160	-20	0	255	60
2026-04-24 19:24:14	0	3	30	-10	95	12	60
2026-04-24 19:24:14	1	4	160	-30	0	255	60
2026-04-24 19:24:15	0	3	40	-10	0	12	60
2026-04-24 19:24:15	1	4	140	-30	0	255	60
2026-04-24 19:24:16	0	3	40	-10	110	12	60
2026-04-24 19:24:16	1	4	140	-30	0	255	60
2026-04-24 19:24:17	0	3	40	-20	0	12	60
2026-04-24 19:24:17	1	4	140	-20	0	255	60
2026-04-24 19:24:18	0	3	40	-20	0	12	60
2026-04-24 19:24:18	1	4	140	-20	0	255	60
2026-04-24 19:24:19	0	3	40	-20	0	12	60
2026-04-24 19:24:19	1	4	140	-20	0	255	60
2026-04-24 19:24:20	0	3	40	-20	0	12	60
2026-04-24 19:24:20	1	4	140	-20	0	255	60
2026-04-24 19:24:21	0	3	40	-20	0	12	60
2026-04-24 19:24:21	1	4	140	-20	0	255	60
2026-04-24 19:24:22	0	3	40	-20	0	12	60
2026-04-24 19:24:22	1	4	140	-20	0	255	60
2026-04-24 19:24:23	0	3	40	-20	0	12	60
2026-04-24 19:24:23	1	4	140	-20	0	255	60
2026-04-24 19:24:24	0	3	40	-20	0	12	60
2026-04-24 19:24:24	1	4	140	-20	0	255	60
2026-04-24 19:24:25	0	3	40	-20	0	12	60
2026-04-24 19:24:25	1	4	140	-20	0	255	60
2026-04-24 19:24:26	0	3	40	-20	0	12	60
2026-04-24 19:24:26	1	4	140	-20	0	255	60
2026-04-24 19:24:27	0	3	50	-30	0	12	60
2026-04-24 19:24:27	1	4	140	-20	0	255	60
2026-04-24 19:24:28	0	3	50	-30	0	12	60
2026-04-24 19:24:28	1	4	140	-20	0	255	60
2026-04-24 19:24:29	0	3	50	-30	0	12	60
2026-04-24 19:24:29	1	4	140	-20	0	255	60
2026-04-24 19:24:30	0	3	50	-30	0	12	60
2026-04-24 19:24:30	1	4	140	-20	0	255	60
2026-04-24 19:24:31	0	3	50	-30	0	12	60
2026-04-24 19:24:31	1	4	140	-20	0	255	60
2026-04-24 19:24:32	0	3	50	-30	0	12	60
2026-04-24 19:24:32	1	4	140	-20	0	255	60
2026-04-24 19:24:33	0	3	50	-30	0	12	60
2026-04-24 19:24:33	1	4	140	-20	0	255	60
2026-04-24 19:24:34	0	3	50	-30	0	12	60
2026-04-24 19:24:34	1	4	140	-20	0	255	60
2026-04-24 19:24:35	0	3	50	-30	0	12	60
2026-04-24 19:24:35	1	4	140	-20	0	255	60
2026-04-24 19:24:36	0	3	50	-30	0	12	60
