# CABB 4D8710D5CABB  room fd00:0:3:411:1:200::/88  Unit tz=Asia/Shanghai(UTC+8)
# window 17:44:00-18:02:30 local | source: PG monitor_stream(radar.track) + event_log
# pose: 1=Walking 3=Sitting 4=Standing 7=SuspectedSitOnGround 8=SitOnGround | note: walking / SITONGROUND / Z>80
# ----------------------------------------------------------------------
17:45:53  pose3  z0    xy(  40,  10) tid0   
17:45:54  pose3  z0    xy(  40,  10) tid0   
17:45:54  pose4  z0    xy(-110,  60) tid1   
17:45:55  pose4  z0    xy(-110,  60) tid1   
17:45:55  pose3  z0    xy(  40,  10) tid0   
17:45:55  pose4  z0    xy(-110,  60) tid1   
17:45:55  pose3  z0    xy(  40,  10) tid0   
17:45:56  pose4  z0    xy( -90,  60) tid1   
17:45:56  pose3  z0    xy(  40,  10) tid0   
17:45:57  pose3  z0    xy(  40,  10) tid0   
17:45:57  pose4  z0    xy( -90,  60) tid1   
17:45:59  pose4  z0    xy( -90,  60) tid1   
17:45:59  pose3  z0    xy(  40,  10) tid0   
17:45:59  pose4  z0    xy( -90,  60) tid1   
17:45:59  pose3  z0    xy(  40,  10) tid0   
17:46:00  pose4  z0    xy( -90,  60) tid1   
17:46:00  pose3  z0    xy(  40,  10) tid0   
17:46:01  pose4  z0    xy( -90,  60) tid1   
17:46:01  pose3  z0    xy(  40,  10) tid0   
17:46:02  pose4  z0    xy( -90,  60) tid1   
17:46:02  pose3  z0    xy(  40,  10) tid0   
17:46:04  pose4  z0    xy( -90,  60) tid1   
17:46:04  pose3  z0    xy(  40,  10) tid0   
17:46:04  pose4  z0    xy( -90,  60) tid1   
17:46:04  pose3  z0    xy(  40,  10) tid0   
17:46:05  pose4  z0    xy( -90,  60) tid1   
17:46:05  pose3  z0    xy(  40,  10) tid0   
17:46:06  pose4  z0    xy( -90,  60) tid1   
17:46:06  pose3  z0    xy(  40,  10) tid0   
17:46:07  pose4  z0    xy( -90,  60) tid1   
17:46:07  pose3  z0    xy(  40,  10) tid0   
17:46:08  pose4  z0    xy( -90,  60) tid1   
17:46:08  pose3  z0    xy(  40,  10) tid0   
17:46:09  pose4  z0    xy( -90,  60) tid1   
17:46:09  pose3  z0    xy(  40,  10) tid0   
17:46:10  pose4  z0    xy( -90,  60) tid1   
17:46:10  pose3  z0    xy(  40,  10) tid0   
17:46:11  pose3  z0    xy(  40,  10) tid0   
17:46:11  pose4  z0    xy( -90,  60) tid1   
17:46:12  pose4  z0    xy( -90,  60) tid1   
17:46:12  pose3  z0    xy(  40,  10) tid0   
17:46:13  pose4  z0    xy( -90,  60) tid1   
17:46:13  pose3  z0    xy(  40,  10) tid0   
17:46:14  pose4  z0    xy( -90,  60) tid1   
17:46:14  pose3  z0    xy(  40,  10) tid0   
17:46:15  pose4  z0    xy( -90,  60) tid1   
17:46:15  pose3  z0    xy(  40,  10) tid0   
17:46:16  pose4  z0    xy( -90,  60) tid1   
17:46:16  pose3  z0    xy(  40,  10) tid0   
17:46:17  pose4  z0    xy( -90,  60) tid1   
17:46:17  pose3  z0    xy(  40,  10) tid0   
17:46:18  pose4  z0    xy( -90,  60) tid1   
17:46:18  pose3  z0    xy(  40,  10) tid0   
17:46:19  pose4  z0    xy( -90,  60) tid1   
17:46:19  pose3  z0    xy(  40,  10) tid0   
17:46:20  pose4  z0    xy( -90,  60) tid1   
17:46:20  pose3  z0    xy(  40,  10) tid0   
17:46:21  pose3  z0    xy(  40,  10) tid0   
17:46:21  pose4  z0    xy( -90,  60) tid1   
17:46:22  pose3  z0    xy(  40,  10) tid0   
17:46:22  pose4  z0    xy( -90,  60) tid1   
17:46:23  pose4  z0    xy( -90,  60) tid1   
17:46:23  pose3  z0    xy(  40,  10) tid0   
17:46:24  pose4  z0    xy( -90,  60) tid1   
17:46:24  pose3  z0    xy(  40,  10) tid0   
17:46:25  pose3  z0    xy(  40,  10) tid0   
17:46:25  pose4  z0    xy( -90,  60) tid1   
17:46:26  pose4  z0    xy( -90,  60) tid1   
17:46:26  pose3  z0    xy(  40,  10) tid0   
17:46:27  pose4  z0    xy( -90,  60) tid1   
17:46:27  pose3  z0    xy(  40,  10) tid0   
17:46:28  pose4  z0    xy( -90,  60) tid1   
17:46:28  pose3  z0    xy(  40,  10) tid0   
17:46:29  pose4  z0    xy( -90,  60) tid1   
17:46:29  pose3  z0    xy(  40,  10) tid0   
17:46:30  pose4  z0    xy( -90,  60) tid1   
17:46:30  pose3  z0    xy(  40,  10) tid0   
17:46:31  pose4  z0    xy( -90,  60) tid1   
17:46:31  pose3  z0    xy(  40,  10) tid0   
17:46:32  pose4  z0    xy( -90,  60) tid1   
17:46:32  pose3  z0    xy(  40,  10) tid0   
17:46:33  pose4  z0    xy( -90,  60) tid1   
17:46:33  pose3  z0    xy(  40,  10) tid0   
17:46:34  pose4  z0    xy( -90,  60) tid1   
17:46:34  pose3  z0    xy(  40,  10) tid0   
17:46:35  pose4  z0    xy( -90,  60) tid1   
17:46:35  pose3  z0    xy(  40,  10) tid0   
17:46:36  pose3  z0    xy(  40,  10) tid0   
17:46:36  pose4  z0    xy( -90,  60) tid1   
17:46:37  pose4  z0    xy( -90,  60) tid1   
17:46:37  pose3  z0    xy(  40,  10) tid0   
17:46:38  pose4  z0    xy( -90,  60) tid1   
17:46:38  pose3  z0    xy(  40,  10) tid0   
17:46:39  pose3  z0    xy(  40,  10) tid0   
17:46:39  pose4  z0    xy( -90,  60) tid1   
17:46:40  pose4  z0    xy( -90,  60) tid1   
17:46:40  pose3  z0    xy(  40,  10) tid0   
17:46:41  pose4  z0    xy( -90,  60) tid1   
17:46:41  pose3  z0    xy(  40,  10) tid0   
17:46:42  pose4  z0    xy( -90,  60) tid1   
17:46:42  pose3  z0    xy(  40,  10) tid0   
17:46:43  pose4  z0    xy( -90,  60) tid1   
17:46:43  pose3  z0    xy(  40,  10) tid0   
17:46:44  pose4  z0    xy( -90,  60) tid1   
17:46:44  pose3  z0    xy(  40,  10) tid0   
17:46:45  pose4  z0    xy( -90,  60) tid1   
17:46:45  pose3  z0    xy(  40,  10) tid0   
17:46:46  pose4  z0    xy( -90,  60) tid1   
17:46:46  pose3  z0    xy(  40,  10) tid0   
17:46:47  pose4  z0    xy( -90,  60) tid1   
17:46:47  pose3  z0    xy(  40,  10) tid0   
17:46:48  pose4  z0    xy( -90,  60) tid1   
17:46:48  pose3  z0    xy(  40,  10) tid0   
17:46:49  pose4  z0    xy( -90,  60) tid1   
17:46:49  pose3  z0    xy(  40,  10) tid0   
17:46:50  pose3  z0    xy(  40,  10) tid0   
17:46:50  pose4  z0    xy( -90,  60) tid1   
17:46:51  pose3  z0    xy(  40,  10) tid0   
17:46:51  pose4  z0    xy( -90,  60) tid1   
17:46:52  pose3  z0    xy(  40,  10) tid0   
17:46:52  pose4  z0    xy( -90,  60) tid1   
17:46:53  pose3  z0    xy(  40,  10) tid0   
17:46:53  pose4  z0    xy( -90,  60) tid1   
17:46:54  pose3  z0    xy(  40,  10) tid0   
17:46:54  pose4  z0    xy( -90,  60) tid1   
17:46:55  pose4  z0    xy( -90,  60) tid1   
17:46:55  pose3  z0    xy(  40,  10) tid0   
17:46:56  pose4  z0    xy( -90,  60) tid1   
17:46:56  pose3  z0    xy(  40,  10) tid0   
17:46:57  pose4  z0    xy( -90,  60) tid1   
17:46:57  pose3  z0    xy(  40,  10) tid0   
17:46:58  pose4  z0    xy( -90,  60) tid1   
17:46:58  pose3  z0    xy(  40,  10) tid0   
17:46:59  pose4  z0    xy( -90,  60) tid1   
17:46:59  pose3  z0    xy(  40,  10) tid0   
17:47:00  pose4  z0    xy( -90,  60) tid1   
17:47:00  pose3  z0    xy(  40,  10) tid0   
17:47:01  pose4  z0    xy( -90,  60) tid1   
17:47:01  pose3  z0    xy(  40,  10) tid0   
17:47:02  pose4  z0    xy( -90,  60) tid1   
17:47:02  pose3  z0    xy(  40,  10) tid0   
17:47:03  pose4  z0    xy( -90,  60) tid1   
17:47:03  pose3  z0    xy(  40,  10) tid0   
17:47:04  pose4  z0    xy( -90,  60) tid1   
17:47:04  pose3  z0    xy(  40,  10) tid0   
17:47:05  pose4  z0    xy( -90,  60) tid1   
17:47:05  pose3  z0    xy(  40,  10) tid0   
