bj	topic_type	category	data_value
2026-05-05 06:46:40.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:41.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:42.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:43.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:44.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:45.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:46.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:47.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:48.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:49.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
