mdt	device_uid	topic_type	category	data_value
2026-05-04 00:04:00.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -20, "position_z": 108, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:01.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 95, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:02.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 30, "position_y": 20, "position_z": 125, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:03.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 30, "position_y": 30, "position_z": 103, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:04.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 92, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:05.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 50, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:06.000	4D8710D5CABB	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:07.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 91, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:08.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:09.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:10.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:11.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:12.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:13.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:14.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:15.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:16.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:17.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:18.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:19.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:20.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 113, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:21.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 10, "position_z": 105, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:22.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:23.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:24.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:25.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:26.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:27.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:28.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:29.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:30.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 90, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:31.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 30, "position_z": 84, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:32.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 75, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:33.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
