2026-06-30 08:03:29.175 | MON | radar.heart      | [{"pose": 0, "track_id": 11, "track_confidence": 80}]
2026-06-30 08:03:29.294 | MON | radar.track      | [{"pose": 0, "area_id": 0, "track_id": 88, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:00.967 | MON | radar.track      | [{"pose": 0, "area_id": 0, "track_id": 88, "position_x": 0, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:19.864 | EVT | number_people    | [{"track_id": 10, "heart_rate": -1, "event_since": 1782828259864, "event_status": "start", "number_people": 1, "respiratory_rate": -1}]
2026-06-30 08:04:20.493 | EVT | activity         | [{"track_id": 9, "heart_rate": -1, "event_since": 1782828260493, "track_count": 0, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 0, "respiratory_rate": -1, "multi_person_duration": 0}]
2026-06-30 08:04:20.493 | MON | radar.heart      | [{"pose": 0, "track_id": 11, "track_confidence": 80}]
2026-06-30 08:04:20.496 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -150, "position_y": 500, "position_z": 99, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:20.751 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:21.751 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -100, "position_y": 510, "position_z": 78, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:22.749 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -130, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:23.754 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -170, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:24.756 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -180, "position_y": 520, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:25.754 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -170, "position_y": 510, "position_z": 103, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:26.754 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:27.773 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:28.772 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:29.777 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:30.680 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -100, "position_y": 510, "position_z": 88, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:31.677 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:32.679 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 71, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:33.678 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -100, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:34.679 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -90, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:35.679 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -90, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:36.680 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -90, "position_y": 510, "position_z": 61, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:37.686 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -90, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:38.682 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -90, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:39.688 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 76, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:40.683 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:41.582 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:42.583 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:43.588 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 78, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:44.593 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:45.587 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:46.593 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 80, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:47.586 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:48.592 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:49.593 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:50.600 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:51.592 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:52.593 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:53.483 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 460, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:54.485 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 460, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
